MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C020-M07x135_sub.SR_stool.fasta,0,0.000
C020-M07x135_sub.SR_stool.fasta,0.583333333,0.000
C020-M07x135_sub.SR_stool.fasta,2,0.000
C020-M07x135_sub.SR_stool.fasta,3,0.000
C020-M07x146.SR_stool.fasta,0,0.000
C020-M07x146.SR_stool.fasta,0.583333333,0.000
C020-M07x21.LR_stool.fasta,0,0.000
C020-M07x21.LR_stool.fasta,0.583333333,4.798
C020-M07x49.SR_stool.fasta,0,0.000
C020-M07x49.SR_stool.fasta,0.583333333,11.737
C020-M07x64_sub.SR_stool.fasta,0,0.000
C020-M07x64_sub.SR_stool.fasta,0.583333333,0.000
C020-M07x75.SR_stool.fasta,0,0.000
C020-M07x75.SR_stool.fasta,0.583333333,4.413
C020-M07x79_sub.LR_stool.fasta,0,0.000
C020-M07x79_sub.LR_stool.fasta,0.583333333,1.953
C020-M07x87.LR_stool.fasta,0,0.000
C020-M07x87.LR_stool.fasta,0.583333333,0.000
C020-M07x87.LR_stool.fasta,2,0.946
C020-M07x87.LR_stool.fasta,3,3.784
C020-M07xbin.41.SR_stool.fasta,0,0.000
C020-M07xbin.41.SR_stool.fasta,0.583333333,0.000
C020-M07xbin.53.SR_stool.fasta,0,0.000
C020-M07xbin.53.SR_stool.fasta,0.583333333,5.351
C020-M07xbin.62.LR_stool.fasta,0,0.000
C020-M07xbin.62.LR_stool.fasta,0.583333333,1.869
C020-M07xbin.91.LR_stool.fasta,0,0.000
C020-M07xbin.91.LR_stool.fasta,0.583333333,1.042
C020-M07xC020-M07.008_sub.SR_stool.fasta,0,0.000
C020-M07xC020-M07.008_sub.SR_stool.fasta,0.583333333,0.000
C020-M07xC020-M07.011_sub.SR_stool.fasta,0,0.000
C020-M07xC020-M07.011_sub.SR_stool.fasta,0.583333333,0.000
C020-M07xC020-M07.016.SR_stool.fasta,0,0.000
C020-M07xC020-M07.016.SR_stool.fasta,0.583333333,1.680
C020-M07xC020-M07.039.SR_stool.fasta,0,0.000
C020-M07xC020-M07.039.SR_stool.fasta,0.583333333,7.165
C020-M24_BAPxbin.17.SR_plate.fasta,0,0.000
